Country Name,Country Code,Indicator Name,Indicator Code,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,,82605,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82663,82663
Burundi,BDI,Land area (sq. km),AG.LND.TOTL.K2,,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680,25680
Belgium,BEL,Land area (sq. km),AG.LND.TOTL.K2,,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280,30280
Benin,BEN,Land area (sq. km),AG.LND.TOTL.K2,,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760,112760
Burkina Faso,BFA,Land area (sq. km),AG.LND.TOTL.K2,,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600,273600
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170
Bulgaria,BGR,Land area (sq. km),AG.LND.TOTL.K2,,110630,110630,108800,108770,108760,108640,108630,108610,108610,108560,108560,108560,108560,108560,108560,108560
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010
Bosnia and Herzegovina,BIH,Land area (sq. km),AG.LND.TOTL.K2,,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200,51200
Belarus,BLR,Land area (sq. km),AG.LND.TOTL.K2,,202848,202844,202829,202826,202815,202833,202904,202901,202902,202898,202902,202910,202899,202908,202973,202978
Belize,BLZ,Land area (sq. km),AG.LND.TOTL.K2,,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810,22810
Bermuda,BMU,Land area (sq. km),AG.LND.TOTL.K2,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Bolivia,BOL,Land area (sq. km),AG.LND.TOTL.K2,,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300,1083300
Brazil,BRA,Land area (sq. km),AG.LND.TOTL.K2,,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140,8358140
Barbados,BRB,Land area (sq. km),AG.LND.TOTL.K2,,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430,430
Brunei Darussalam,BRN,Land area (sq. km),AG.LND.TOTL.K2,,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270,5270
Bhutan,BTN,Land area (sq. km),AG.LND.TOTL.K2,,39800,39800,39800,39800,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117,38117
Botswana,BWA,Land area (sq. km),AG.LND.TOTL.K2,,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730,566730
Central African Republic,CAF,Land area (sq. km),AG.LND.TOTL.K2,,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980,622980
Canada,CAN,Land area (sq. km),AG.LND.TOTL.K2,,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590,8965590
Central Europe and the Baltics,CEB,Land area (sq. km),AG.LND.TOTL.K2,,1104969,1104969,1103299,1103361,1103471,1103321,1103291,1103181,1103162.2,1104161.8,1104143.2,1104209,1104048.7,1105114,1105841,1105835.6
Switzerland,CHE,Land area (sq. km),AG.LND.TOTL.K2,,39523.581,39522.36,39521.139,39519.917,39518.694,39517.47,39516.245,39515.02,39514.422,39513.824,39513.225,39512.626,39512.028,39511.428,39510.829,39510.23
Channel Islands,CHI,Land area (sq. km),AG.LND.TOTL.K2,,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198
Chile,CHL,Land area (sq. km),AG.LND.TOTL.K2,,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532,743532
China,CHN,Land area (sq. km),AG.LND.TOTL.K2,,9388220,9388214.2,9388213.2,9388212.7,9388212.5,9388211.8,9388211.4,9388210.8,9388210.8,9388211,9388211,9388211,9388211,9388211,9388211,9388211
Cote d'Ivoire,CIV,Land area (sq. km),AG.LND.TOTL.K2,,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
Cameroon,CMR,Land area (sq. km),AG.LND.TOTL.K2,,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710,472710
"Congo, Dem. Rep.",COD,Land area (sq. km),AG.LND.TOTL.K2,,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050,2267050
"Congo, Rep.",COG,Land area (sq. km),AG.LND.TOTL.K2,,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500,341500
Colombia,COL,Land area (sq. km),AG.LND.TOTL.K2,,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500,1109500
Comoros,COM,Land area (sq. km),AG.LND.TOTL.K2,,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
Cabo Verde,CPV,Land area (sq. km),AG.LND.TOTL.K2,,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030,4030
Costa Rica,CRI,Land area (sq. km),AG.LND.TOTL.K2,,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060,51060
Caribbean small states,CSS,Land area (sq. km),AG.LND.TOTL.K2,,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850,404850
Cuba,CUB,Land area (sq. km),AG.LND.TOTL.K2,,107400,107400,106390,106400,106410,106440,106430,106440,106440,106440,106440,106863,106649,104220,104020,104100
Curacao,CUW,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,444,444,444,444,444
Cayman Islands,CYM,Land area (sq. km),AG.LND.TOTL.K2,,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Cyprus,CYP,Land area (sq. km),AG.LND.TOTL.K2,,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240,9240
Czechia,CZE,Land area (sq. km),AG.LND.TOTL.K2,,77270,77270,77270,77270,77260,77260,77250,77250,77240,77240,77230,77230,77230,77220,77220,77210
Germany,DEU,Land area (sq. km),AG.LND.TOTL.K2,,348950,348900,348860,348810,348770,348760,348720,348670,348630,348610,348570,348560,348540,348880,348900,348860
Djibouti,DJI,Land area (sq. km),AG.LND.TOTL.K2,,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180,23180
Dominica,DMA,Land area (sq. km),AG.LND.TOTL.K2,,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750
Denmark,DNK,Land area (sq. km),AG.LND.TOTL.K2,,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000,40000
Dominican Republic,DOM,Land area (sq. km),AG.LND.TOTL.K2,,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310,48310
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741
East Asia & Pacific (excluding high income),EAP,Land area (sq. km),AG.LND.TOTL.K2,,15975027.74,15975051.94,15974511.17,15981277.76,15980915.52,15983621.89,15986704.49,15986516.89,15986546.89,15986507.13,15986826.42,15986805.95,15986838.95,15986320.38,15986683.92,15986698.4
Early-demographic dividend,EAR,Land area (sq. km),AG.LND.TOTL.K2,,33187094,33187040,33187040,33186826,33313586.3,33313534.77,33313719.22,33313941.06,33313661.4,33314189.69,33314070.95,33314027.06,33313888.02,33313797.05,33312370.28,33317194.35
East Asia & Pacific,EAS,Land area (sq. km),AG.LND.TOTL.K2,,24446988.74,24447298.94,24446814.17,24453602.76,24453263.52,24455999.89,24459118.09,24458972.09,24459077.09,24459107.63,24459569.12,24459540.85,24459695.85,24459294.68,24459664.22,24459693.8
Europe & Central Asia (excluding high income),ECA,Land area (sq. km),AG.LND.TOTL.K2,,22298628,22297669,22296328,22296325,22296560,22296652,22393931,22393804,22392906,22392815,22392760,22392687,22392677,22392696,22391561,22396381
Europe & Central Asia,ECS,Land area (sq. km),AG.LND.TOTL.K2,,27344059.77,27342569.55,27341867.33,27342375.1,27342358.88,27342279.66,27438907.43,27438749.21,27437291.81,27438179.81,27439415.61,27439247.81,27439386.92,27440674.78,27440271.62,27444550.26
Ecuador,ECU,Land area (sq. km),AG.LND.TOTL.K2,,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360,248360
"Egypt, Arab Rep.",EGY,Land area (sq. km),AG.LND.TOTL.K2,,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450,995450
Euro area,EMU,Land area (sq. km),AG.LND.TOTL.K2,,2679346.46,2678816.46,2679296.46,2679726.46,2679346.46,2679206.46,2678576.46,2678636.46,2678097.66,2678017.26,2679328.66,2679164.46,2679474.16,2680874.66,2680862.06,2680277.66
Eritrea,ERI,Land area (sq. km),AG.LND.TOTL.K2,,101000,101000,101000,101000,120982.625,121025.326,121004.031,121032.606,121057.494,121069.592,121065.103,121088.989,121082.12,121049.278,121036.185,121088.775
Spain,ESP,Land area (sq. km),AG.LND.TOTL.K2,,499000,498520,499040,499210,499180,499090,498980,499110,498800,498660,500010,499880,500210,500210,500210,499661
Estonia,EST,Land area (sq. km),AG.LND.TOTL.K2,,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,42390,43470,43470,43470
Ethiopia,ETH,Land area (sq. km),AG.LND.TOTL.K2,,1000000,1000000,1000000,1000000,1128597.297,1128599.766,1128613.221,1128631.059,1128568.396,1128588.692,1128570.952,1128575.061,1128582.022,1128572.048,1128538.282,1128539.353
European Union,EUU,Land area (sq. km),AG.LND.TOTL.K2,,3996118.16,3995588.16,3994398.16,3994880.16,3994620.16,3994330.16,3993670.16,3993620.16,3993061.36,3993990.96,3995282.36,3995188.16,3995337.86,3996728.36,3997475.76,3996852.3
Fragile and conflict affected situations,FCS,Land area (sq. km),AG.LND.TOTL.K2,,20185971,20185971,20185961,20185771,20334210.92,20334236.09,20334378.25,20334454.67,20334196.89,20331169.28,20331097.06,20331155.05,20454945.14,20454640.33,20454563.47,20454617.13
Finland,FIN,Land area (sq. km),AG.LND.TOTL.K2,,304590,304590,304590,304590,304590,304590,304110,304090,303900,303900,303900,303890,303890,303890,303890,303910
Fiji,FJI,Land area (sq. km),AG.LND.TOTL.K2,,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270,18270
France,FRA,Land area (sq. km),AG.LND.TOTL.K2,,547567,547567,547567,547867,547567,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557,547557
Faroe Islands,FRO,Land area (sq. km),AG.LND.TOTL.K2,,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396,1396
"Micronesia, Fed. Sts.",FSM,Land area (sq. km),AG.LND.TOTL.K2,,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
Gabon,GAB,Land area (sq. km),AG.LND.TOTL.K2,,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670,257670
United Kingdom,GBR,Land area (sq. km),AG.LND.TOTL.K2,,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930,241930
Georgia,GEO,Land area (sq. km),AG.LND.TOTL.K2,,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490,69490
Ghana,GHA,Land area (sq. km),AG.LND.TOTL.K2,,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540,227540
Gibraltar,GIB,Land area (sq. km),AG.LND.TOTL.K2,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Guinea,GIN,Land area (sq. km),AG.LND.TOTL.K2,,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720,245720
"Gambia, The",GMB,Land area (sq. km),AG.LND.TOTL.K2,,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120
Guinea-Bissau,GNB,Land area (sq. km),AG.LND.TOTL.K2,,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120,28120
Equatorial Guinea,GNQ,Land area (sq. km),AG.LND.TOTL.K2,,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050,28050
Greece,GRC,Land area (sq. km),AG.LND.TOTL.K2,,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900,128900
Grenada,GRD,Land area (sq. km),AG.LND.TOTL.K2,,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340,340
Greenland,GRL,Land area (sq. km),AG.LND.TOTL.K2,,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450,410450
Guatemala,GTM,Land area (sq. km),AG.LND.TOTL.K2,,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160,107160
Guam,GUM,Land area (sq. km),AG.LND.TOTL.K2,,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Guyana,GUY,Land area (sq. km),AG.LND.TOTL.K2,,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850,196850
High income,HIC,Land area (sq. km),AG.LND.TOTL.K2,,35444478.77,35444233.55,35444928.33,35445471.1,35445252.88,35445121.66,35444506.03,35444526.41,35429552.01,35430601.31,35432036.31,35432466.71,35432740.82,35434127.08,35434525.92,35434006.66
"Hong Kong SAR, China",HKG,Land area (sq. km),AG.LND.TOTL.K2,,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
Honduras,HND,Land area (sq. km),AG.LND.TOTL.K2,,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890,111890
Heavily indebted poor countries (HIPC),HPC,Land area (sq. km),AG.LND.TOTL.K2,,19753191,19753191,19753191,19753191,19901770.92,19901816.09,19901808.25,19901854.67,19901816.89,19901849.28,19902537.06,19902820.05,19394820.14,19394782.33,19394735.47,19394789.13
Croatia,HRV,Land area (sq. km),AG.LND.TOTL.K2,,55912,55912,55912,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964,55964
Haiti,HTI,Land area (sq. km),AG.LND.TOTL.K2,,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560,27560
Hungary,HUN,Land area (sq. km),AG.LND.TOTL.K2,,89620,89620,89620,89620,89620,89610,89610,89610,89610,90530,90530,90530,90530,90530,91260,91260
IBRD only,IBD,Land area (sq. km),AG.LND.TOTL.K2,,70871444.74,70870563.94,70868842.17,70875721.76,70875878.52,70878720.89,70978961.49,70978372.89,70977721.89,70975253.13,70975600.42,70975596.95,70975608.95,70974998.38,70975210.92,70975231.4
IDA & IBRD total,IBT,Land area (sq. km),AG.LND.TOTL.K2,,95686750.74,95685815.94,95684094.17,95690749.76,95837639.44,95840462.98,95940866.75,95940518.56,95939602.78,95937134.42,95938066.47,95938293,96062086.09,96061356.71,96060348.39,96064420.53
IDA total,IDA,Land area (sq. km),AG.LND.TOTL.K2,,24815306,24815252,24815252,24815028,24961760.92,24961742.09,24961905.25,24962145.67,24961880.89,24961881.28,24962466.06,24962696.05,25086477.14,25086358.33,25085137.47,25089189.13
IDA blend,IDB,Land area (sq. km),AG.LND.TOTL.K2,,4379935,4379881,4379881,4379847,4379823,4379819,4379820,4379954,4379937,4379915,4379862,4379779,4379770,4379759,4379759,4384570
Indonesia,IDN,Land area (sq. km),AG.LND.TOTL.K2,,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519,1877519
IDA only,IDX,Land area (sq. km),AG.LND.TOTL.K2,,20435371,20435371,20435371,20435181,20581937.92,20581923.09,20582085.25,20582191.67,20581943.89,20581966.28,20582604.06,20582917.05,20706707.14,20706599.33,20705378.47,20704619.13
Isle of Man,IMN,Land area (sq. km),AG.LND.TOTL.K2,,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
India,IND,Land area (sq. km),AG.LND.TOTL.K2,,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190
Not classified,INX,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,,,,,
Ireland,IRL,Land area (sq. km),AG.LND.TOTL.K2,,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890,68890
"Iran, Islamic Rep.",IRN,Land area (sq. km),AG.LND.TOTL.K2,,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760,1628760
Iraq,IRQ,Land area (sq. km),AG.LND.TOTL.K2,,437370,437370,437370,437370,437370,437370,437370,437370,437370,434320,434320,434320,434320,434128,434128,434128
Iceland,ISL,Land area (sq. km),AG.LND.TOTL.K2,,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250,100250
Israel,ISR,Land area (sq. km),AG.LND.TOTL.K2,,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640,21640
Italy,ITA,Land area (sq. km),AG.LND.TOTL.K2,,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718,295718
Jamaica,JAM,Land area (sq. km),AG.LND.TOTL.K2,,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830,10830
Jordan,JOR,Land area (sq. km),AG.LND.TOTL.K2,,88240,88240,88240,88240,88240,88240,88240,88240,88240,88780,88780,88780,88780,88780,88780,88780
Japan,JPN,Land area (sq. km),AG.LND.TOTL.K2,,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500,364500
Kazakhstan,KAZ,Land area (sq. km),AG.LND.TOTL.K2,,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700,2699700
Kenya,KEN,Land area (sq. km),AG.LND.TOTL.K2,,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140,569140
Kyrgyz Republic,KGZ,Land area (sq. km),AG.LND.TOTL.K2,,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800,191800
Cambodia,KHM,Land area (sq. km),AG.LND.TOTL.K2,,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520,176520
Kiribati,KIR,Land area (sq. km),AG.LND.TOTL.K2,,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810,810
St. Kitts and Nevis,KNA,Land area (sq. km),AG.LND.TOTL.K2,,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260,260
"Korea, Rep.",KOR,Land area (sq. km),AG.LND.TOTL.K2,,96460,96740,96790,96800,96820,96850,96880,96920,96990,97060,97200,97190,97310,97426,97430,97445
Kuwait,KWT,Land area (sq. km),AG.LND.TOTL.K2,,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820,17820
Latin America & Caribbean (excluding high income),LAC,Land area (sq. km),AG.LND.TOTL.K2,,17943410,17943410,17942400,17942410,17942420,17942450,17942440,17942450,17942450,17942450,17942450,17942873,17942659,17940230,17940030,17940110
Lao PDR,LAO,Land area (sq. km),AG.LND.TOTL.K2,,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800,230800
Lebanon,LBN,Land area (sq. km),AG.LND.TOTL.K2,,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230,10230
Liberia,LBR,Land area (sq. km),AG.LND.TOTL.K2,,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320,96320
Libya,LBY,Land area (sq. km),AG.LND.TOTL.K2,,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540,1759540
St. Lucia,LCA,Land area (sq. km),AG.LND.TOTL.K2,,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610,610
Latin America & Caribbean,LCN,Land area (sq. km),AG.LND.TOTL.K2,,20042212,20042212,20041202,20041212,20041222,20041252,20041242,20041252,20041252,20041252,20041252,20042203,20041989,20039560,20039140,20039220
Least developed countries: UN classification,LDC,Land area (sq. km),AG.LND.TOTL.K2,,20127151,20127151,20127151,20127151,20273927.92,20273913.09,20274015.25,20274111.67,20273863.89,20273886.28,20274534.06,20274847.05,20398637.14,20398529.33,20398482.47,20398536.13
Low income,LIC,Land area (sq. km),AG.LND.TOTL.K2,,14471940,14471940,14471940,14471750,14620309.92,14620355.09,14620407.25,14620463.67,14620425.89,14620458.28,14621136.06,14621419.05,14745349.14,14745311.33,14745264.47,14745318.13
Liechtenstein,LIE,Land area (sq. km),AG.LND.TOTL.K2,,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Sri Lanka,LKA,Land area (sq. km),AG.LND.TOTL.K2,,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,62710,61893
Lower middle income,LMC,Land area (sq. km),AG.LND.TOTL.K2,,24007824.74,24007800.74,24007250.97,24013984.06,24011915.02,24014658.09,24017722.09,24017639.09,24017642.09,24018120.13,24018386.42,24018282.95,24018306.95,24017777.38,24016936.92,24020950.4
Low & middle income,LMY,Land area (sq. km),AG.LND.TOTL.K2,,93250566.74,93249631.94,93246740.17,93253323.76,93400083.44,93402956.98,93503360.75,93503112.56,93502206.78,93499598.42,93500540.47,93501120,93624859.09,93621700.71,93620682.39,93624834.53
Lesotho,LSO,Land area (sq. km),AG.LND.TOTL.K2,,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360,30360
Late-demographic dividend,LTE,Land area (sq. km),AG.LND.TOTL.K2,,44416123.74,44415246.94,44415380.17,44422250.76,44422418.52,44425322.89,44525522.49,44524986.89,44524344.89,44524430.13,44524774.42,44524759.95,44524782.95,44525435.38,44525704.92,44524904.4
Lithuania,LTU,Land area (sq. km),AG.LND.TOTL.K2,,62680,62680,62680,62680,62680,62680,62680,62680,62675,62675,62675,62674,62674,62675,62650,62650
Luxembourg,LUX,Land area (sq. km),AG.LND.TOTL.K2,,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46,2574.46
Latvia,LVA,Land area (sq. km),AG.LND.TOTL.K2,,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227,62227
"Macao SAR, China",MAC,Land area (sq. km),AG.LND.TOTL.K2,,20,26,27,27,28,28,28.6,29.2,29.2,29.5,29.7,29.9,29.9,30.3,30.3,30.4
St. Martin (French part),MAF,Land area (sq. km),AG.LND.TOTL.K2,,,,,,,,,,,,,50,50,50,50,50
Morocco,MAR,Land area (sq. km),AG.LND.TOTL.K2,,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300,446300
Monaco,MCO,Land area (sq. km),AG.LND.TOTL.K2,,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027,2.027
Moldova,MDA,Land area (sq. km),AG.LND.TOTL.K2,,32880,32880,32880,32870,32880,32890,32890,32890,32890,32890,32850,32850,32860,32880,32880,32880
Madagascar,MDG,Land area (sq. km),AG.LND.TOTL.K2,,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581540,581795,581795,581800,581800,581800
Maldives,MDV,Land area (sq. km),AG.LND.TOTL.K2,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
Middle East & North Africa,MEA,Land area (sq. km),AG.LND.TOTL.K2,,11226250,11226250,11226250,11226070,11226060,11226070,11226130,11226150,11226160,11223650,11223642,11223647,11223650,11223458,11223339,11223347
Mexico,MEX,Land area (sq. km),AG.LND.TOTL.K2,,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950,1943950
